from,to,node_name,rank,definition,tree_name
APHIA:421069,FUNCTIONAL:SABELLID,Bispira brunnea,NA,NA,fouling
APHIA:421070,FUNCTIONAL:SABELLID,Branchiomma bairdi,NA,NA,fouling
APHIA:209930,FUNCTIONAL:SABELLID,Branchiomma nigromaculatum,NA,NA,fouling
APHIA:530659,FUNCTIONAL:SABELLID,Parasabella aberrans,NA,NA,fouling
APHIA:1299057,FUNCTIONAL:SABELLID,Parasabella crassichaetae,NA,NA,fouling
APHIA:530927,FUNCTIONAL:SABELLID,Parasabella microphthalma,NA,NA,fouling
APHIA:325958,FUNCTIONAL:SABELLID,Parasabella sp,NA,NA,fouling
APHIA:985,FUNCTIONAL:SABELLID,Sabellidae,NA,NA,fouling
APHIA:157917,FUNCTIONAL:HYDROID,Bougainvillia carolinensis,NA,NA,fouling
APHIA:1267,FUNCTIONAL:HYDROID,Cnidaria,NA,NA,fouling
APHIA:117545,FUNCTIONAL:HYDROID,Eudendrium carneum,NA,NA,fouling
APHIA:117093,FUNCTIONAL:HYDROID,Eudendrium sp,NA,NA,fouling
APHIA:1337,FUNCTIONAL:HYDROID,Hydrozoa,NA,NA,fouling
APHIA:117034,FUNCTIONAL:HYDROID,Obelia sp,NA,NA,fouling
APHIA:117234,FUNCTIONAL:HYDROID,Sertularia sp,NA,NA,fouling
APHIA:140657,FUNCTIONAL:OYSTER,Crassostrea virginica,NA,NA,fouling
APHIA:420736,FUNCTIONAL:OYSTER,Isognomon alatus,NA,NA,fouling
APHIA:419702,FUNCTIONAL:CREPIDULA,Crepidula atrasolea,NA,NA,fouling
APHIA:419703,FUNCTIONAL:CREPIDULA,Crepidula depressa,NA,NA,fouling
APHIA:137722,FUNCTIONAL:CREPIDULA,Crepidula sp,NA,NA,fouling
APHIA:597421,FUNCTIONAL:CREPIDULA,Sigapatella novaezelandiae,NA,NA,fouling
APHIA:129563,FUNCTIONAL:SERPULIDAE,Filograna sp,NA,NA,fouling
APHIA:131000,FUNCTIONAL:SERPULIDAE,Hydroides dianthus,NA,NA,fouling
UNDEFINED:HYDROIDES_DIRAMPHUS,FUNCTIONAL:SERPULIDAE,Hydroides diramphus,NA,NA,fouling
APHIA:131002,FUNCTIONAL:SERPULIDAE,Hydroides elegans,NA,NA,fouling
APHIA:333645,FUNCTIONAL:SERPULIDAE,Hydroides sanctaecrucis,NA,NA,fouling
APHIA:129566,FUNCTIONAL:SERPULIDAE,Hydroides sp,NA,NA,fouling
APHIA:988,FUNCTIONAL:SERPULIDAE,Serpulidae,NA,NA,fouling
UNDEFINED:SPIRORBIDAE,FUNCTIONAL:SERPULIDAE,Spirorbidae,NA,NA,fouling
APHIA:419554,FUNCTIONAL:VERMETID,Petaloconchus varians,NA,NA,fouling
APHIA:369269,FUNCTIONAL:SER,Salmacina huxleyi,NA,NA,fouling
UNDEFINED:STREBLOSOMA_VERRILLI,FUNCTIONAL:TEREBELLID,Streblosoma verrilli,NA,NA,fouling
APHIA:982,FUNCTIONAL:TEREBELLID,Terebellidae,NA,NA,fouling
